ShouldBeZero	Must be zero.
OperationCannotBePerformed	Operation cannot be performed.
InvalidParameter	Parameter not valid.
EditControlsHaveNoChildren	Win32 edit control cannot have a child element.
InvalidTextRangeOffset	Character offset not valid in TextRange.
InvalidRangeEndpoint	Start or end specified is past the end of the text range.
RichEditTextPatternHasNoChildren	RangeFromChild method is not supported in this implementation.
SetFocusFailed	Target element cannot receive focus.
DoesNotSupportMultipleSelection	Selection container does not support multiple selection.
SelectionRequired	Selection container requires one selection.
ValueReadonly	Value is read-only.
NotAValidValue	'{0}' is not a valid value for this control.
ScrollBarOutOfRange	ScrollBar percent must be between 0 and 100.
NoITextDocumentFromRichEdit	Cannot obtain ITextDocument from RichEdit control.
RangeValueMax	Value is greater than Maximum.
RangeValueMin	Value is less than Minimum.
GridRowOutOfRange	Grid row must be set between 0 and row maximum.
GridColumnOutOfRange	Grid column must be set between 0 and column maximum.
LocalizedNameWindowsComboButton	Drop Down Button
LocalizedNameWindowsHorizontalScrollBar	Horizontal Scroll Bar
LocalizedNameWindowsVerticalScrollBar	Vertical Scroll Bar
LocalizedNameWindowsMenuBar	Application
LocalizedNameWindowsMenu	Menu
LocalizedNameWindowsMenuSeparator	separator
LocalizedNameWindowsSystemMenuBar	System Menu Bar
LocalizedNameWindowsSystemMenuItem	System
LocalizedNameWindowsReBarBandItem	Rebar Band
LocalizedNameWindowsScrollBarBitsBackBySmallAmount	Back by small amount
LocalizedNameWindowsScrollBarBitsBackByLargeAmount	Back by large amount
LocalizedNameWindowsScrollBarBitsThumb	Thumb
LocalizedNameWindowsScrollBarBitsForwardByLargeAmount	Forward by large amount
LocalizedNameWindowsScrollBarBitsForwardBySmallAmount	Forward by small amount
LocalizedNameWindowsSliderItemBackByLargeAmount	Back by large amount
LocalizedNameWindowsSliderItemThumb	Thumb
LocalizedNameWindowsSliderItemForwardByLargeAmount	Forward by large amount
LocalizedNameWindowsSysHeader	Header
LocalizedNameWindowsTitleBarButtonRestore	Restore
LocalizedNameWindowsTitleBarButtonMinimize	Minimize
LocalizedNameWindowsTitleBarButtonContextHelp	Context help
LocalizedNameWindowsTitleBarButtonMaximize	Maximize
LocalizedNameWindowsTitleBarButtonClose	Close
LocalizedNameWindowsTitleBarButtonUnknown	Unknown title bar button
LocalizedNameWindowsUpDown	Spin
LocalizedNameWindowsSpinButtonItemBackward	Backward
LocalizedNameWindowsSpinButtonItemForward	Forward
LocalizedControlTypeIPAddress	ip address
LocalizedControlTypeOctet	Octet
LocalizedControlTypeRebar	Rebar
LocalizedControlTypeRebarBand	Rebar Band
LocalizedControlTypeGrip	Grip
LocalizedControlTypeDialog	Dialog
LocalizedControlTypeContainer	Container
KeyAlt	Alt
KeyCtrl	Ctrl
KeyControl	Control
KeyShift	Shift
KeyHome	Home
KeyEnd	End
KeyDel	Del
KeyDelete	Delete
KeyIns	Ins
KeyInsert	Insert
KeyPageUp	Page Up
KeyPageDown	Page Down
KeyEsc	Esc
KeyScrLk	ScrLk
KeyPause	Pause
KeySysRq	SysRq
KeyPrtScn	PrtScn
KeyTab	Tab
KeyHelp	Help
KeySpace	Space
KeyWinKey	WinKey
